company_id,from_year,to_year,from_pattern,to_pattern
JINDALSTEL,2015,2016,Mixed,Reinvestor
JINDALSTEL,2023,2024,Reinvestor,Mixed
JIOFIN,2023,2024,Shareholder Returns,Other
JSWENERGY,2019,2020,Shareholder Returns,Liquidating Assets
JSWENERGY,2020,2021,Liquidating Assets,Shareholder Returns
JSWENERGY,2022,2023,Shareholder Returns,Mixed
JSWSTEEL,2013,2014,Shareholder Returns,Mixed
JSWSTEEL,2014,2015,Mixed,Shareholder Returns
JSWSTEEL,2015,2016,Shareholder Returns,Reinvestor
JSWSTEEL,2016,2017,Reinvestor,Shareholder Returns
JSWSTEEL,2017,2018,Shareholder Returns,Reinvestor
JSWSTEEL,2018,2019,Reinvestor,Mixed
JSWSTEEL,2020,2021,Mixed,Shareholder Returns
KOTAKBANK,2013,2014,Mixed,Shareholder Returns
KOTAKBANK,2014,2015,Shareholder Returns,Mixed
KOTAKBANK,2017,2018,Mixed,Growth Funded by Debt
KOTAKBANK,2018,2019,Growth Funded by Debt,Mixed
KOTAKBANK,2019,2020,Mixed,Shareholder Returns
KOTAKBANK,2021,2022,Shareholder Returns,Mixed
KOTAKBANK,2022,2023,Mixed,Growth Funded by Debt
KOTAKBANK,2023,2024,Growth Funded by Debt,Mixed
LICI,2019,2020,Liquidating Assets,Shareholder Returns
LICI,2020,2021,Shareholder Returns,Liquidating Assets
LICI,2021,2022,Liquidating Assets,Other
LICI,2022,2023,Other,Shareholder Returns
LODHA,2015,2016,Other,Mixed
LODHA,2016,2017,Mixed,Shareholder Returns
LODHA,2017,2018,Shareholder Returns,Mixed
LODHA,2018,2019,Mixed,Growth Funded by Debt
LODHA,2019,2020,Growth Funded by Debt,Liquidating Assets
LODHA,2023,2024,Liquidating Assets,Mixed
LT,2016,2017,Growth Funded by Debt,Mixed
LT,2017,2018,Mixed,Distress Signal
LT,2018,2019,Distress Signal,Growth Funded by Debt
LT,2019,2020,Growth Funded by Debt,Mixed
LT,2020,2021,Mixed,Reinvestor
LT,2022,2023,Reinvestor,Shareholder Returns
LT,2023,2024,Shareholder Returns,Liquidating Assets
LTIM,2013,2014,Shareholder Returns,Liquidating Assets
LTIM,2014,2015,Liquidating Assets,Reinvestor
LTIM,2020,2021,Reinvestor,Shareholder Returns
LTIM,2021,2022,Shareholder Returns,Reinvestor
LTIM,2023,2024,Reinvestor,Shareholder Returns
M&M,2014,2015,Growth Funded by Debt,Mixed
M&M,2018,2019,Mixed,Growth Funded by Debt
M&M,2020,2021,Growth Funded by Debt,Mixed
M&M,2021,2022,Mixed,Shareholder Returns
M&M,2022,2023,Shareholder Returns,Growth Funded by Debt
MOTHERSON,2014,2015,Shareholder Returns,Mixed
MOTHERSON,2015,2016,Mixed,Shareholder Returns
MOTHERSON,2016,2017,Shareholder Returns,Mixed
MOTHERSON,2017,2018,Mixed,Shareholder Returns
MOTHERSON,2023,2024,Shareholder Returns,Mixed
NAUKRI,2013,2014,Reinvestor,Mixed
NAUKRI,2015,2016,Mixed,Reinvestor
NAUKRI,2019,2020,Reinvestor,Liquidating Assets
NAUKRI,2020,2021,Liquidating Assets,Mixed
NESTLEIND,2018,2019,Shareholder Returns,Liquidating Assets
NESTLEIND,2019,2020,Liquidating Assets,Shareholder Returns
NHPC,2013,2014,Reinvestor,Shareholder Returns
NHPC,2019,2020,Shareholder Returns,Mixed
NHPC,2020,2021,Mixed,Shareholder Returns
NTPC,2013,2014,Mixed,Shareholder Returns
NTPC,2016,2017,Shareholder Returns,Mixed
NTPC,2020,2021,Mixed,Shareholder Returns
ONGC,2013,2014,Shareholder Returns,Mixed
ONGC,2014,2015,Mixed,Shareholder Returns
ONGC,2017,2018,Shareholder Returns,Mixed
ONGC,2018,2019,Mixed,Shareholder Returns
PFC,2014,2015,Distress Signal,Growth Funded by Debt
PFC,2016,2017,Growth Funded by Debt,Mixed
PFC,2017,2018,Mixed,Distress Signal
PFC,2018,2019,Distress Signal,Growth Funded by Debt
PFC,2020,2021,Growth Funded by Debt,Distress Signal
PFC,2021,2022,Distress Signal,Reinvestor
PFC,2022,2023,Reinvestor,Growth Funded by Debt
PIDILITIND,2013,2014,Shareholder Returns,Reinvestor
PIDILITIND,2014,2015,Reinvestor,Shareholder Returns
PIDILITIND,2016,2017,Shareholder Returns,Mixed
PIDILITIND,2017,2018,Mixed,Liquidating Assets
PIDILITIND,2018,2019,Liquidating Assets,Reinvestor
PIDILITIND,2019,2020,Reinvestor,Liquidating Assets
PIDILITIND,2020,2021,Liquidating Assets,Shareholder Returns
PIDILITIND,2021,2022,Shareholder Returns,Reinvestor
PIDILITIND,2022,2023,Reinvestor,Shareholder Returns
PNB,2013,2014,Pre-Revenue,Mixed
PNB,2016,2017,Mixed,Liquidating Assets
PNB,2017,2018,Liquidating Assets,Distress Signal
PNB,2018,2019,Distress Signal,Growth Funded by Debt
PNB,2020,2021,Growth Funded by Debt,Mixed
PNB,2023,2024,Mixed,Growth Funded by Debt
POWERGRID,2018,2019,Mixed,Shareholder Returns
POWERGRID,2021,2022,Shareholder Returns,Liquidating Assets
POWERGRID,2022,2023,Liquidating Assets,Shareholder Returns
RECLTD,2015,2016,Distress Signal,Growth Funded by Debt
RECLTD,2016,2017,Growth Funded by Debt,Reinvestor
RECLTD,2017,2018,Reinvestor,Distress Signal
RECLTD,2021,2022,Distress Signal,Growth Funded by Debt
RELIANCE,2015,2016,Mixed,Shareholder Returns
RELIANCE,2016,2017,Shareholder Returns,Mixed
RELIANCE,2017,2018,Mixed,Shareholder Returns
RELIANCE,2018,2019,Shareholder Returns,Mixed
RELIANCE,2019,2020,Mixed,Shareholder Returns
RELIANCE,2020,2021,Shareholder Returns,Mixed
RELIANCE,2023,2024,Mixed,Shareholder Returns
SBILIFE,2020,2021,Shareholder Returns,Mixed
SBILIFE,2021,2022,Mixed,Shareholder Returns
SBIN,2013,2014,Shareholder Returns,Mixed
SBIN,2014,2015,Mixed,Shareholder Returns
SBIN,2015,2016,Shareholder Returns,Mixed
SBIN,2016,2017,Mixed,Reinvestor
SBIN,2017,2018,Reinvestor,Distress Signal
SBIN,2018,2019,Distress Signal,Cash Accumulator
SBIN,2019,2020,Cash Accumulator,Mixed
SBIN,2021,2022,Mixed,Shareholder Returns
SBIN,2022,2023,Shareholder Returns,Growth Funded by Debt
SBIN,2023,2024,Growth Funded by Debt,Shareholder Returns
SHREECEM,2017,2018,Shareholder Returns,Mixed
SHREECEM,2018,2019,Mixed,Shareholder Returns
SHREECEM,2019,2020,Shareholder Returns,Mixed
SHREECEM,2020,2021,Mixed,Shareholder Returns
SHRIRAMFIN,2017,2018,Growth Funded by Debt,Distress Signal
SHRIRAMFIN,2018,2019,Distress Signal,Growth Funded by Debt
SHRIRAMFIN,2022,2023,Growth Funded by Debt,Distress Signal
SHRIRAMFIN,2023,2024,Distress Signal,Growth Funded by Debt
SIEMENS,2017,2018,Liquidating Assets,Reinvestor
SIEMENS,2019,2020,Reinvestor,Liquidating Assets
SIEMENS,2020,2021,Liquidating Assets,Reinvestor
SUNPHARMA,2013,2014,Reinvestor,Mixed
SUNPHARMA,2014,2015,Mixed,Shareholder Returns
SUNPHARMA,2020,2021,Shareholder Returns,Liquidating Assets
SUNPHARMA,2021,2022,Liquidating Assets,Shareholder Returns
SUNPHARMA,2022,2023,Shareholder Returns,Mixed
SUNPHARMA,2023,2024,Mixed,Shareholder Returns
