company_id,broad_sector,cluster_id,metric,metric_label,metric_value,sector_mean,sector_std,sector_count,z_score,abs_z_score,outlier_flag,handling
BAJAJFINSV,Financials,3,capex_intensity_pct,Capex Intensity,9.929155,14.614712,23.266484,23,-0.201387,0.201387,False,computed
BAJAJHLDNG,Financials,1,net_profit_margin_pct,Net Profit Margin,432.726204,38.238003,87.706652,23,4.497814,4.497814,True,computed
BAJAJHLDNG,Financials,1,operating_profit_margin_pct,Operating Profit Margin,91.774383,53.425739,35.593822,22,1.077396,1.077396,False,computed
BAJAJHLDNG,Financials,1,return_on_equity_pct,Return on Equity,13.576788,19.007093,13.021442,22,-0.417028,0.417028,False,computed
BAJAJHLDNG,Financials,1,debt_to_equity,Debt to Equity,0.001161,4.821046,4.225134,22,-1.140765,1.140765,False,computed
BAJAJHLDNG,Financials,1,return_on_capital_employed_pct,ROCE,13.863009,81.288225,209.120203,21,-0.322423,0.322423,False,computed
BAJAJHLDNG,Financials,1,asset_turnover,Asset Turnover,0.02612,0.198326,0.309124,22,-0.557076,0.557076,False,computed
BAJAJHLDNG,Financials,1,revenue_cagr_5yr,Revenue CAGR 5Yr,31.612293,17.744843,5.304504,22,2.614278,2.614278,False,computed
BAJAJHLDNG,Financials,1,fcf_conversion_pct,FCF Conversion,94.046095,-132.589622,254.419738,22,0.890795,0.890795,False,computed
BAJAJHLDNG,Financials,1,cfo_quality_score,CFO Quality Score,0.340188,2.380893,8.557163,23,-0.238479,0.238479,False,computed
BAJAJHLDNG,Financials,1,capex_intensity_pct,Capex Intensity,27.73208,14.614712,23.266484,23,0.563788,0.563788,False,computed
BAJFINANCE,Financials,3,net_profit_margin_pct,Net Profit Margin,26.287928,38.238003,87.706652,23,-0.13625,0.13625,False,computed
BAJFINANCE,Financials,3,operating_profit_margin_pct,Operating Profit Margin,29.285818,53.425739,35.593822,22,-0.678205,0.678205,False,computed
BAJFINANCE,Financials,3,return_on_equity_pct,Return on Equity,18.841921,19.007093,13.021442,22,-0.012685,0.012685,False,computed
BAJFINANCE,Financials,3,debt_to_equity,Debt to Equity,3.824789,4.821046,4.225134,22,-0.235793,0.235793,False,computed
BAJFINANCE,Financials,3,return_on_capital_employed_pct,ROCE,4.360316,81.288225,209.120203,21,-0.367865,0.367865,False,computed
BAJFINANCE,Financials,3,asset_turnover,Asset Turnover,0.146303,0.198326,0.309124,22,-0.168292,0.168292,False,computed
BAJFINANCE,Financials,3,revenue_cagr_5yr,Revenue CAGR 5Yr,24.352643,17.744843,5.304504,22,1.245696,1.245696,False,computed
BAJFINANCE,Financials,3,fcf_conversion_pct,FCF Conversion,-496.496677,-132.589622,254.419738,22,-1.430341,1.430341,False,computed
BAJFINANCE,Financials,3,cfo_quality_score,CFO Quality Score,-3.758378,2.380893,8.557163,23,-0.717442,0.717442,False,computed
BAJFINANCE,Financials,3,capex_intensity_pct,Capex Intensity,13.044823,14.614712,23.266484,23,-0.067474,0.067474,False,computed
BANKBARODA,Financials,3,net_profit_margin_pct,Net Profit Margin,15.939483,38.238003,87.706652,23,-0.25424,0.25424,False,computed
BANKBARODA,Financials,3,operating_profit_margin_pct,Operating Profit Margin,37.488913,53.425739,35.593822,22,-0.447741,0.447741,False,computed
BANKBARODA,Financials,3,return_on_equity_pct,Return on Equity,15.761864,19.007093,13.021442,22,-0.249222,0.249222,False,computed
BANKBARODA,Financials,3,debt_to_equity,Debt to Equity,12.143719,4.821046,4.225134,22,1.733122,1.733122,False,computed
BANKBARODA,Financials,3,return_on_capital_employed_pct,ROCE,2.820638,81.288225,209.120203,21,-0.375227,0.375227,False,computed
BANKBARODA,Financials,3,asset_turnover,Asset Turnover,0.071538,0.198326,0.309124,22,-0.410151,0.410151,False,computed
BANKBARODA,Financials,3,revenue_cagr_5yr,Revenue CAGR 5Yr,17.477298,17.744843,5.304504,22,-0.050437,0.050437,False,computed
BANKBARODA,Financials,3,fcf_conversion_pct,FCF Conversion,-17.032831,-132.589622,254.419738,22,0.454197,0.454197,False,computed
BANKBARODA,Financials,3,cfo_quality_score,CFO Quality Score,3.473911,2.380893,8.557163,23,0.127731,0.127731,False,computed
BANKBARODA,Financials,3,capex_intensity_pct,Capex Intensity,1.085497,14.614712,23.266484,23,-0.581489,0.581489,False,computed
BHARTIARTL,Communication Services,1,net_profit_margin_pct,Net Profit Margin,5.706018,14.584082,12.555478,2,,,False,insufficient_sector_observations
BHARTIARTL,Communication Services,1,operating_profit_margin_pct,Operating Profit Margin,52.200931,40.118604,17.08699,2,,,False,insufficient_sector_observations
BHARTIARTL,Communication Services,1,return_on_equity_pct,Return on Equity,10.358392,6.162277,5.934203,2,,,False,insufficient_sector_observations
BHARTIARTL,Communication Services,1,debt_to_equity,Debt to Equity,2.609472,1.308801,1.839428,2,,,False,insufficient_sector_observations
BHARTIARTL,Communication Services,1,return_on_capital_employed_pct,ROCE,25.104372,14.214045,15.401248,2,,,False,insufficient_sector_observations
